Nearest Planning Area,Community Centres,Planning Area,Total Population,Population per Community Centre,Amount of Blood Collected
Ang Mo Kio,6,Ang Mo Kio,159340,26556,353
Bedok,12,Bedok,276840,23070,306
Bishan,3,Bishan,87930,29310,389
Boon Lay,2,Boon Lay,20,10,0
Bukit Batok,3,Bukit Batok,167750,55916,743
Bukit Merah,5,Bukit Merah,148270,29654,394
Bukit Panjang,4,Bukit Panjang,138050,34512,459
Bukit Timah,3,Bukit Timah,83570,27856,370
Choa Chu Kang,4,Choa Chu Kang,190180,47545,632
Clementi,3,Clementi,102390,34130,453
Geylang,4,Geylang,116610,29152,387
Hougang,4,Hougang,228140,57035,758
Jurong East,3,Jurong East,74530,24843,330
Jurong West,3,Jurong West,257470,85823,1141
Kallang,5,Kallang,100560,20112,267
Mandai,2,Mandai,2110,1055,14
Marina East,1,Marina East,0,0,0
Marine Parade,4,Marine Parade,46690,11672,155
Newton,1,Newton,9730,9730,129
Novena,2,Novena,51850,25925,344
Outram,4,Outram,16790,4197,55
Pasir Ris,3,Pasir Ris,145150,48383,643
Punggol,4,Punggol,199400,49850,663
Queenstown,1,Queenstown,101930,101930,1355
River Valley,1,River Valley,11880,11880,158
Rochor,1,Rochor,12920,12920,171
Sembawang,2,Sembawang,110090,55045,732
Sengkang,7,Sengkang,265060,37865,503
Serangoon,3,Serangoon,117630,39210,521
Simpang,1,Simpang,0,0,0
Tampines,6,Tampines,284560,47426,630
Tanglin,1,Tanglin,24030,24030,319
Tengah,2,Tengah,7980,3990,53
Toa Payoh,6,Toa Payoh,139310,23218,308
Woodlands,4,Woodlands,255180,63795,848
Yishun,5,Yishun,229520,45904,610
